RevenueID,Date,DepartmentID,RevenueAmount,RevenueSource
REV0001,2023-01-01,D001,61380543,Product Sales
REV0002,2023-01-01,D002,13095570,Marketing Services
REV0003,2023-01-01,D003,6023468,Financial Services
REV0004,2023-01-01,D004,999241,Internal Services
REV0005,2023-01-01,D005,34483582,Operations Revenue
REV0006,2023-01-01,D006,7411040,Technology Services
REV0007,2023-01-01,D007,5013005,Customer Services
REV0008,2023-01-01,D008,3722466,Research Contracts
REV0009,2023-02-01,D001,68981428,Product Sales
REV0010,2023-02-01,D002,17628519,Marketing Services
REV0011,2023-02-01,D003,9472471,Financial Services
REV0012,2023-02-01,D004,1041090,Internal Services
REV0013,2023-02-01,D005,32404852,Operations Revenue
REV0014,2023-02-01,D006,10981505,Technology Services
REV0015,2023-02-01,D007,5766891,Customer Services
REV0016,2023-02-01,D008,7521373,Research Contracts
REV0017,2023-03-01,D001,51019877,Product Sales
REV0018,2023-03-01,D002,11344769,Marketing Services
REV0019,2023-03-01,D003,5791743,Financial Services
REV0020,2023-03-01,D004,1103355,Internal Services
REV0021,2023-03-01,D005,40964436,Operations Revenue
REV0022,2023-03-01,D006,7262752,Technology Services
REV0023,2023-03-01,D007,5396025,Customer Services
REV0024,2023-03-01,D008,4307371,Research Contracts
REV0025,2023-04-01,D001,54305648,Product Sales
REV0026,2023-04-01,D002,13743066,Marketing Services
REV0027,2023-04-01,D003,7253882,Financial Services
REV0028,2023-04-01,D004,2919486,Internal Services
REV0029,2023-04-01,D005,38237723,Operations Revenue
REV0030,2023-04-01,D006,10721339,Technology Services
REV0031,2023-04-01,D007,8842447,Customer Services
REV0032,2023-04-01,D008,4500942,Research Contracts
REV0033,2023-05-01,D001,57648637,Product Sales
REV0034,2023-05-01,D002,11275709,Marketing Services
REV0035,2023-05-01,D003,5084654,Financial Services
REV0036,2023-05-01,D004,1953277,Internal Services
REV0037,2023-05-01,D005,43731570,Operations Revenue
REV0038,2023-05-01,D006,8416182,Technology Services
REV0039,2023-05-01,D007,7474675,Customer Services
REV0040,2023-05-01,D008,5652991,Research Contracts
REV0041,2023-06-01,D001,52171226,Product Sales
REV0042,2023-06-01,D002,18608464,Marketing Services
REV0043,2023-06-01,D003,8429350,Financial Services
REV0044,2023-06-01,D004,1638441,Internal Services
REV0045,2023-06-01,D005,39554915,Operations Revenue
REV0046,2023-06-01,D006,10358330,Technology Services
REV0047,2023-06-01,D007,8124224,Customer Services
REV0048,2023-06-01,D008,7023892,Research Contracts
REV0049,2023-07-01,D001,60933681,Product Sales
REV0050,2023-07-01,D002,9465689,Marketing Services
REV0051,2023-07-01,D003,5068148,Financial Services
REV0052,2023-07-01,D004,2825665,Internal Services
REV0053,2023-07-01,D005,44522899,Operations Revenue
REV0054,2023-07-01,D006,9397723,Technology Services
REV0055,2023-07-01,D007,7003758,Customer Services
REV0056,2023-07-01,D008,7056518,Research Contracts
REV0057,2023-08-01,D001,47669995,Product Sales
REV0058,2023-08-01,D002,12997895,Marketing Services
REV0059,2023-08-01,D003,9798669,Financial Services
REV0060,2023-08-01,D004,2870928,Internal Services
REV0061,2023-08-01,D005,29155299,Operations Revenue
REV0062,2023-08-01,D006,8557489,Technology Services
REV0063,2023-08-01,D007,5773415,Customer Services
REV0064,2023-08-01,D008,5305413,Research Contracts
REV0065,2023-09-01,D001,72256154,Product Sales
REV0066,2023-09-01,D002,14913820,Marketing Services
REV0067,2023-09-01,D003,5799019,Financial Services
REV0068,2023-09-01,D004,2736305,Internal Services
REV0069,2023-09-01,D005,35509505,Operations Revenue
REV0070,2023-09-01,D006,9129378,Technology Services
REV0071,2023-09-01,D007,4616445,Customer Services
REV0072,2023-09-01,D008,6224355,Research Contracts
REV0073,2023-10-01,D001,63048957,Product Sales
REV0074,2023-10-01,D002,11769315,Marketing Services
REV0075,2023-10-01,D003,6046797,Financial Services
REV0076,2023-10-01,D004,1950110,Internal Services
REV0077,2023-10-01,D005,35973639,Operations Revenue
REV0078,2023-10-01,D006,6564685,Technology Services
REV0079,2023-10-01,D007,6879190,Customer Services
REV0080,2023-10-01,D008,4311736,Research Contracts
REV0081,2023-11-01,D001,55208751,Product Sales
REV0082,2023-11-01,D002,15329019,Marketing Services
REV0083,2023-11-01,D003,10039934,Financial Services
REV0084,2023-11-01,D004,1227896,Internal Services
REV0085,2023-11-01,D005,33245085,Operations Revenue
REV0086,2023-11-01,D006,10356849,Technology Services
REV0087,2023-11-01,D007,8993614,Customer Services
REV0088,2023-11-01,D008,5721168,Research Contracts
REV0089,2023-12-01,D001,82201184,Product Sales
REV0090,2023-12-01,D002,11142192,Marketing Services
REV0091,2023-12-01,D003,7710566,Financial Services
REV0092,2023-12-01,D004,1258780,Internal Services
REV0093,2023-12-01,D005,42946413,Operations Revenue
REV0094,2023-12-01,D006,11119054,Technology Services
REV0095,2023-12-01,D007,6605260,Customer Services
REV0096,2023-12-01,D008,6277102,Research Contracts
REV0097,2024-01-01,D001,68030161,Product Sales
REV0098,2024-01-01,D002,9639724,Marketing Services
REV0099,2024-01-01,D003,7040026,Financial Services
REV0100,2024-01-01,D004,1570284,Internal Services
REV0101,2024-01-01,D005,43448163,Operations Revenue
REV0102,2024-01-01,D006,8149467,Technology Services
REV0103,2024-01-01,D007,8398468,Customer Services
REV0104,2024-01-01,D008,5888608,Research Contracts
REV0105,2024-02-01,D001,53738672,Product Sales
REV0106,2024-02-01,D002,19214490,Marketing Services
REV0107,2024-02-01,D003,6595717,Financial Services
REV0108,2024-02-01,D004,2666717,Internal Services
REV0109,2024-02-01,D005,35343158,Operations Revenue
REV0110,2024-02-01,D006,11600141,Technology Services
REV0111,2024-02-01,D007,6457253,Customer Services
REV0112,2024-02-01,D008,7422127,Research Contracts
REV0113,2024-03-01,D001,72512025,Product Sales
REV0114,2024-03-01,D002,17586804,Marketing Services
REV0115,2024-03-01,D003,10652261,Financial Services
REV0116,2024-03-01,D004,2755639,Internal Services
REV0117,2024-03-01,D005,33567587,Operations Revenue
REV0118,2024-03-01,D006,8933859,Technology Services
REV0119,2024-03-01,D007,7690815,Customer Services
REV0120,2024-03-01,D008,3840357,Research Contracts
REV0121,2024-04-01,D001,60870554,Product Sales
REV0122,2024-04-01,D002,19700679,Marketing Services
REV0123,2024-04-01,D003,10316204,Financial Services
REV0124,2024-04-01,D004,1335422,Internal Services
REV0125,2024-04-01,D005,35106005,Operations Revenue
REV0126,2024-04-01,D006,7587163,Technology Services
REV0127,2024-04-01,D007,4534649,Customer Services
REV0128,2024-04-01,D008,5518387,Research Contracts
REV0129,2024-05-01,D001,50346557,Product Sales
REV0130,2024-05-01,D002,14622184,Marketing Services
REV0131,2024-05-01,D003,9094606,Financial Services
REV0132,2024-05-01,D004,2947915,Internal Services
REV0133,2024-05-01,D005,31164174,Operations Revenue
REV0134,2024-05-01,D006,10182056,Technology Services
REV0135,2024-05-01,D007,5361808,Customer Services
REV0136,2024-05-01,D008,6416154,Research Contracts
REV0137,2024-06-01,D001,69286543,Product Sales
REV0138,2024-06-01,D002,10857993,Marketing Services
REV0139,2024-06-01,D003,10096256,Financial Services
REV0140,2024-06-01,D004,2145680,Internal Services
REV0141,2024-06-01,D005,41868520,Operations Revenue
REV0142,2024-06-01,D006,11459298,Technology Services
REV0143,2024-06-01,D007,8420431,Customer Services
REV0144,2024-06-01,D008,9164894,Research Contracts
REV0145,2024-07-01,D001,75332605,Product Sales
REV0146,2024-07-01,D002,8847943,Marketing Services
REV0147,2024-07-01,D003,8862934,Financial Services
REV0148,2024-07-01,D004,1586525,Internal Services
REV0149,2024-07-01,D005,46075449,Operations Revenue
REV0150,2024-07-01,D006,8333112,Technology Services
REV0151,2024-07-01,D007,8830160,Customer Services
REV0152,2024-07-01,D008,8133992,Research Contracts
REV0153,2024-08-01,D001,61062868,Product Sales
REV0154,2024-08-01,D002,17937107,Marketing Services
REV0155,2024-08-01,D003,7709923,Financial Services
REV0156,2024-08-01,D004,2421630,Internal Services
REV0157,2024-08-01,D005,46551506,Operations Revenue
REV0158,2024-08-01,D006,10377374,Technology Services
REV0159,2024-08-01,D007,9097077,Customer Services
REV0160,2024-08-01,D008,7217012,Research Contracts
REV0161,2024-09-01,D001,83051038,Product Sales
REV0162,2024-09-01,D002,12686139,Marketing Services
REV0163,2024-09-01,D003,9567905,Financial Services
REV0164,2024-09-01,D004,2039382,Internal Services
REV0165,2024-09-01,D005,37383608,Operations Revenue
REV0166,2024-09-01,D006,13526166,Technology Services
REV0167,2024-09-01,D007,7544350,Customer Services
REV0168,2024-09-01,D008,8859924,Research Contracts
REV0169,2024-10-01,D001,55904402,Product Sales
REV0170,2024-10-01,D002,9242959,Marketing Services
REV0171,2024-10-01,D003,10662685,Financial Services
REV0172,2024-10-01,D004,1596395,Internal Services
REV0173,2024-10-01,D005,41365358,Operations Revenue
REV0174,2024-10-01,D006,10787279,Technology Services
REV0175,2024-10-01,D007,6549519,Customer Services
REV0176,2024-10-01,D008,8165168,Research Contracts
REV0177,2024-11-01,D001,74581797,Product Sales
REV0178,2024-11-01,D002,20071322,Marketing Services
REV0179,2024-11-01,D003,8427210,Financial Services
REV0180,2024-11-01,D004,3865705,Internal Services
REV0181,2024-11-01,D005,33080634,Operations Revenue
REV0182,2024-11-01,D006,14794094,Technology Services
REV0183,2024-11-01,D007,7254952,Customer Services
REV0184,2024-11-01,D008,6449537,Research Contracts
REV0185,2024-12-01,D001,76589969,Product Sales
REV0186,2024-12-01,D002,10611945,Marketing Services
REV0187,2024-12-01,D003,11035214,Financial Services
REV0188,2024-12-01,D004,3119757,Internal Services
REV0189,2024-12-01,D005,38622701,Operations Revenue
REV0190,2024-12-01,D006,14466694,Technology Services
REV0191,2024-12-01,D007,5830281,Customer Services
REV0192,2024-12-01,D008,10513866,Research Contracts
REV0193,2025-01-01,D001,50302858,Product Sales
REV0194,2025-01-01,D002,9031358,Marketing Services
REV0195,2025-01-01,D003,8913231,Financial Services
REV0196,2025-01-01,D004,2948923,Internal Services
REV0197,2025-01-01,D005,49160733,Operations Revenue
REV0198,2025-01-01,D006,12731428,Technology Services
REV0199,2025-01-01,D007,4687950,Customer Services
REV0200,2025-01-01,D008,8094558,Research Contracts
REV0201,2025-02-01,D001,77273512,Product Sales
REV0202,2025-02-01,D002,15898545,Marketing Services
REV0203,2025-02-01,D003,8811826,Financial Services
REV0204,2025-02-01,D004,2786166,Internal Services
REV0205,2025-02-01,D005,31865232,Operations Revenue
REV0206,2025-02-01,D006,11381943,Technology Services
REV0207,2025-02-01,D007,7572421,Customer Services
REV0208,2025-02-01,D008,5784133,Research Contracts
REV0209,2025-03-01,D001,58021041,Product Sales
REV0210,2025-03-01,D002,17885087,Marketing Services
REV0211,2025-03-01,D003,11346469,Financial Services
REV0212,2025-03-01,D004,2419549,Internal Services
REV0213,2025-03-01,D005,32527528,Operations Revenue
REV0214,2025-03-01,D006,10560488,Technology Services
REV0215,2025-03-01,D007,5014295,Customer Services
REV0216,2025-03-01,D008,5997069,Research Contracts
REV0217,2025-04-01,D001,62603234,Product Sales
REV0218,2025-04-01,D002,21707108,Marketing Services
REV0219,2025-04-01,D003,8549988,Financial Services
REV0220,2025-04-01,D004,3244060,Internal Services
REV0221,2025-04-01,D005,33121554,Operations Revenue
REV0222,2025-04-01,D006,12229360,Technology Services
REV0223,2025-04-01,D007,10377635,Customer Services
REV0224,2025-04-01,D008,8705083,Research Contracts
REV0225,2025-05-01,D001,56011030,Product Sales
REV0226,2025-05-01,D002,11721293,Marketing Services
REV0227,2025-05-01,D003,10854132,Financial Services
REV0228,2025-05-01,D004,3428905,Internal Services
REV0229,2025-05-01,D005,54329819,Operations Revenue
REV0230,2025-05-01,D006,9800687,Technology Services
REV0231,2025-05-01,D007,7700624,Customer Services
REV0232,2025-05-01,D008,9267364,Research Contracts
REV0233,2025-06-01,D001,80204576,Product Sales
REV0234,2025-06-01,D002,10831677,Marketing Services
REV0235,2025-06-01,D003,7708413,Financial Services
REV0236,2025-06-01,D004,2532516,Internal Services
REV0237,2025-06-01,D005,43767031,Operations Revenue
REV0238,2025-06-01,D006,12675694,Technology Services
REV0239,2025-06-01,D007,10216109,Customer Services
REV0240,2025-06-01,D008,5134245,Research Contracts
REV0241,2025-07-01,D001,69669171,Product Sales
REV0242,2025-07-01,D002,12232687,Marketing Services
REV0243,2025-07-01,D003,6776604,Financial Services
REV0244,2025-07-01,D004,1400215,Internal Services
REV0245,2025-07-01,D005,50065904,Operations Revenue
REV0246,2025-07-01,D006,13224271,Technology Services
REV0247,2025-07-01,D007,9155457,Customer Services
REV0248,2025-07-01,D008,6349690,Research Contracts
REV0249,2025-08-01,D001,60196931,Product Sales
REV0250,2025-08-01,D002,21847480,Marketing Services
REV0251,2025-08-01,D003,11672862,Financial Services
REV0252,2025-08-01,D004,2022038,Internal Services
REV0253,2025-08-01,D005,51806314,Operations Revenue
REV0254,2025-08-01,D006,14162676,Technology Services
REV0255,2025-08-01,D007,7896070,Customer Services
REV0256,2025-08-01,D008,7492335,Research Contracts
REV0257,2025-09-01,D001,81174128,Product Sales
REV0258,2025-09-01,D002,22151594,Marketing Services
REV0259,2025-09-01,D003,8375532,Financial Services
REV0260,2025-09-01,D004,2670845,Internal Services
REV0261,2025-09-01,D005,51373488,Operations Revenue
REV0262,2025-09-01,D006,14617474,Technology Services
REV0263,2025-09-01,D007,10889845,Customer Services
REV0264,2025-09-01,D008,7633470,Research Contracts
REV0265,2025-10-01,D001,79851111,Product Sales
REV0266,2025-10-01,D002,11686573,Marketing Services
REV0267,2025-10-01,D003,7206926,Financial Services
REV0268,2025-10-01,D004,1693622,Internal Services
REV0269,2025-10-01,D005,37870623,Operations Revenue
REV0270,2025-10-01,D006,14231781,Technology Services
REV0271,2025-10-01,D007,5695245,Customer Services
REV0272,2025-10-01,D008,4121745,Research Contracts
REV0273,2025-11-01,D001,99700424,Product Sales
REV0274,2025-11-01,D002,12871445,Marketing Services
REV0275,2025-11-01,D003,8053693,Financial Services
REV0276,2025-11-01,D004,1733995,Internal Services
REV0277,2025-11-01,D005,52707087,Operations Revenue
REV0278,2025-11-01,D006,17489813,Technology Services
REV0279,2025-11-01,D007,10133726,Customer Services
REV0280,2025-11-01,D008,10727571,Research Contracts
REV0281,2025-12-01,D001,97706417,Product Sales
REV0282,2025-12-01,D002,15810448,Marketing Services
REV0283,2025-12-01,D003,11572833,Financial Services
REV0284,2025-12-01,D004,3941066,Internal Services
REV0285,2025-12-01,D005,44389043,Operations Revenue
REV0286,2025-12-01,D006,11858430,Technology Services
REV0287,2025-12-01,D007,13140538,Customer Services
REV0288,2025-12-01,D008,6384252,Research Contracts
