Date,Year,Quaer,MonthNumber,MonthName,Week,Day,DayName
01-01-2021,2021,Q1,1,January,1,1,Friday
02-01-2021,2021,Q1,1,January,1,2,Saturday
03-01-2021,2021,Q1,1,January,1,3,Sunday
04-01-2021,2021,Q1,1,January,2,4,Monday
05-01-2021,2021,Q1,1,January,2,5,Tuesday
06-01-2021,2021,Q1,1,January,2,6,Wednesday
07-01-2021,2021,Q1,1,January,2,7,Thursday
08-01-2021,2021,Q1,1,January,2,8,Friday
09-01-2021,2021,Q1,1,January,2,9,Saturday
10-01-2021,2021,Q1,1,January,2,10,Sunday
11-01-2021,2021,Q1,1,January,3,11,Monday
12-01-2021,2021,Q1,1,January,3,12,Tuesday
13-01-2021,2021,Q1,1,January,3,13,Wednesday
14-01-2021,2021,Q1,1,January,3,14,Thursday
15-01-2021,2021,Q1,1,January,3,15,Friday
16-01-2021,2021,Q1,1,January,3,16,Saturday
17-01-2021,2021,Q1,1,January,3,17,Sunday
18-01-2021,2021,Q1,1,January,4,18,Monday
19-01-2021,2021,Q1,1,January,4,19,Tuesday
20-01-2021,2021,Q1,1,January,4,20,Wednesday
21-01-2021,2021,Q1,1,January,4,21,Thursday
22-01-2021,2021,Q1,1,January,4,22,Friday
23-01-2021,2021,Q1,1,January,4,23,Saturday
24-01-2021,2021,Q1,1,January,4,24,Sunday
25-01-2021,2021,Q1,1,January,5,25,Monday
26-01-2021,2021,Q1,1,January,5,26,Tuesday
27-01-2021,2021,Q1,1,January,5,27,Wednesday
28-01-2021,2021,Q1,1,January,5,28,Thursday
29-01-2021,2021,Q1,1,January,5,29,Friday
30-01-2021,2021,Q1,1,January,5,30,Saturday
31-01-2021,2021,Q1,1,January,5,31,Sunday
01-02-2021,2021,Q1,2,February,6,1,Monday
02-02-2021,2021,Q1,2,February,6,2,Tuesday
03-02-2021,2021,Q1,2,February,6,3,Wednesday
04-02-2021,2021,Q1,2,February,6,4,Thursday
05-02-2021,2021,Q1,2,February,6,5,Friday
06-02-2021,2021,Q1,2,February,6,6,Saturday
07-02-2021,2021,Q1,2,February,6,7,Sunday
08-02-2021,2021,Q1,2,February,7,8,Monday
09-02-2021,2021,Q1,2,February,7,9,Tuesday
10-02-2021,2021,Q1,2,February,7,10,Wednesday
11-02-2021,2021,Q1,2,February,7,11,Thursday
12-02-2021,2021,Q1,2,February,7,12,Friday
13-02-2021,2021,Q1,2,February,7,13,Saturday
14-02-2021,2021,Q1,2,February,7,14,Sunday
15-02-2021,2021,Q1,2,February,8,15,Monday
16-02-2021,2021,Q1,2,February,8,16,Tuesday
17-02-2021,2021,Q1,2,February,8,17,Wednesday
18-02-2021,2021,Q1,2,February,8,18,Thursday
19-02-2021,2021,Q1,2,February,8,19,Friday
20-02-2021,2021,Q1,2,February,8,20,Saturday
21-02-2021,2021,Q1,2,February,8,21,Sunday
22-02-2021,2021,Q1,2,February,9,22,Monday
23-02-2021,2021,Q1,2,February,9,23,Tuesday
24-02-2021,2021,Q1,2,February,9,24,Wednesday
25-02-2021,2021,Q1,2,February,9,25,Thursday
26-02-2021,2021,Q1,2,February,9,26,Friday
27-02-2021,2021,Q1,2,February,9,27,Saturday
28-02-2021,2021,Q1,2,February,9,28,Sunday
01-03-2021,2021,Q1,3,March,10,1,Monday
02-03-2021,2021,Q1,3,March,10,2,Tuesday
03-03-2021,2021,Q1,3,March,10,3,Wednesday
04-03-2021,2021,Q1,3,March,10,4,Thursday
05-03-2021,2021,Q1,3,March,10,5,Friday
06-03-2021,2021,Q1,3,March,10,6,Saturday
07-03-2021,2021,Q1,3,March,10,7,Sunday
08-03-2021,2021,Q1,3,March,11,8,Monday
09-03-2021,2021,Q1,3,March,11,9,Tuesday
10-03-2021,2021,Q1,3,March,11,10,Wednesday
11-03-2021,2021,Q1,3,March,11,11,Thursday
12-03-2021,2021,Q1,3,March,11,12,Friday
13-03-2021,2021,Q1,3,March,11,13,Saturday
14-03-2021,2021,Q1,3,March,11,14,Sunday
15-03-2021,2021,Q1,3,March,12,15,Monday
16-03-2021,2021,Q1,3,March,12,16,Tuesday
17-03-2021,2021,Q1,3,March,12,17,Wednesday
18-03-2021,2021,Q1,3,March,12,18,Thursday
19-03-2021,2021,Q1,3,March,12,19,Friday
20-03-2021,2021,Q1,3,March,12,20,Saturday
21-03-2021,2021,Q1,3,March,12,21,Sunday
22-03-2021,2021,Q1,3,March,13,22,Monday
23-03-2021,2021,Q1,3,March,13,23,Tuesday
24-03-2021,2021,Q1,3,March,13,24,Wednesday
25-03-2021,2021,Q1,3,March,13,25,Thursday
26-03-2021,2021,Q1,3,March,13,26,Friday
27-03-2021,2021,Q1,3,March,13,27,Saturday
28-03-2021,2021,Q1,3,March,13,28,Sunday
29-03-2021,2021,Q1,3,March,14,29,Monday
30-03-2021,2021,Q1,3,March,14,30,Tuesday
31-03-2021,2021,Q1,3,March,14,31,Wednesday
01-04-2021,2021,Q2,4,April,14,1,Thursday
02-04-2021,2021,Q2,4,April,14,2,Friday
03-04-2021,2021,Q2,4,April,14,3,Saturday
04-04-2021,2021,Q2,4,April,14,4,Sunday
05-04-2021,2021,Q2,4,April,15,5,Monday
06-04-2021,2021,Q2,4,April,15,6,Tuesday
07-04-2021,2021,Q2,4,April,15,7,Wednesday
08-04-2021,2021,Q2,4,April,15,8,Thursday
09-04-2021,2021,Q2,4,April,15,9,Friday
10-04-2021,2021,Q2,4,April,15,10,Saturday
11-04-2021,2021,Q2,4,April,15,11,Sunday
12-04-2021,2021,Q2,4,April,16,12,Monday
13-04-2021,2021,Q2,4,April,16,13,Tuesday
14-04-2021,2021,Q2,4,April,16,14,Wednesday
15-04-2021,2021,Q2,4,April,16,15,Thursday
16-04-2021,2021,Q2,4,April,16,16,Friday
17-04-2021,2021,Q2,4,April,16,17,Saturday
18-04-2021,2021,Q2,4,April,16,18,Sunday
19-04-2021,2021,Q2,4,April,17,19,Monday
20-04-2021,2021,Q2,4,April,17,20,Tuesday
21-04-2021,2021,Q2,4,April,17,21,Wednesday
22-04-2021,2021,Q2,4,April,17,22,Thursday
23-04-2021,2021,Q2,4,April,17,23,Friday
24-04-2021,2021,Q2,4,April,17,24,Saturday
25-04-2021,2021,Q2,4,April,17,25,Sunday
26-04-2021,2021,Q2,4,April,18,26,Monday
27-04-2021,2021,Q2,4,April,18,27,Tuesday
28-04-2021,2021,Q2,4,April,18,28,Wednesday
29-04-2021,2021,Q2,4,April,18,29,Thursday
30-04-2021,2021,Q2,4,April,18,30,Friday
01-05-2021,2021,Q2,5,May,18,1,Saturday
02-05-2021,2021,Q2,5,May,18,2,Sunday
03-05-2021,2021,Q2,5,May,19,3,Monday
04-05-2021,2021,Q2,5,May,19,4,Tuesday
05-05-2021,2021,Q2,5,May,19,5,Wednesday
06-05-2021,2021,Q2,5,May,19,6,Thursday
07-05-2021,2021,Q2,5,May,19,7,Friday
08-05-2021,2021,Q2,5,May,19,8,Saturday
09-05-2021,2021,Q2,5,May,19,9,Sunday
10-05-2021,2021,Q2,5,May,20,10,Monday
11-05-2021,2021,Q2,5,May,20,11,Tuesday
12-05-2021,2021,Q2,5,May,20,12,Wednesday
13-05-2021,2021,Q2,5,May,20,13,Thursday
14-05-2021,2021,Q2,5,May,20,14,Friday
15-05-2021,2021,Q2,5,May,20,15,Saturday
16-05-2021,2021,Q2,5,May,20,16,Sunday
17-05-2021,2021,Q2,5,May,21,17,Monday
18-05-2021,2021,Q2,5,May,21,18,Tuesday
19-05-2021,2021,Q2,5,May,21,19,Wednesday
20-05-2021,2021,Q2,5,May,21,20,Thursday
21-05-2021,2021,Q2,5,May,21,21,Friday
22-05-2021,2021,Q2,5,May,21,22,Saturday
23-05-2021,2021,Q2,5,May,21,23,Sunday
24-05-2021,2021,Q2,5,May,22,24,Monday
25-05-2021,2021,Q2,5,May,22,25,Tuesday
26-05-2021,2021,Q2,5,May,22,26,Wednesday
27-05-2021,2021,Q2,5,May,22,27,Thursday
28-05-2021,2021,Q2,5,May,22,28,Friday
29-05-2021,2021,Q2,5,May,22,29,Saturday
30-05-2021,2021,Q2,5,May,22,30,Sunday
31-05-2021,2021,Q2,5,May,23,31,Monday
01-06-2021,2021,Q2,6,June,23,1,Tuesday
02-06-2021,2021,Q2,6,June,23,2,Wednesday
03-06-2021,2021,Q2,6,June,23,3,Thursday
04-06-2021,2021,Q2,6,June,23,4,Friday
05-06-2021,2021,Q2,6,June,23,5,Saturday
06-06-2021,2021,Q2,6,June,23,6,Sunday
07-06-2021,2021,Q2,6,June,24,7,Monday
08-06-2021,2021,Q2,6,June,24,8,Tuesday
09-06-2021,2021,Q2,6,June,24,9,Wednesday
10-06-2021,2021,Q2,6,June,24,10,Thursday
11-06-2021,2021,Q2,6,June,24,11,Friday
12-06-2021,2021,Q2,6,June,24,12,Saturday
13-06-2021,2021,Q2,6,June,24,13,Sunday
14-06-2021,2021,Q2,6,June,25,14,Monday
15-06-2021,2021,Q2,6,June,25,15,Tuesday
16-06-2021,2021,Q2,6,June,25,16,Wednesday
17-06-2021,2021,Q2,6,June,25,17,Thursday
18-06-2021,2021,Q2,6,June,25,18,Friday
19-06-2021,2021,Q2,6,June,25,19,Saturday
20-06-2021,2021,Q2,6,June,25,20,Sunday
21-06-2021,2021,Q2,6,June,26,21,Monday
22-06-2021,2021,Q2,6,June,26,22,Tuesday
23-06-2021,2021,Q2,6,June,26,23,Wednesday
24-06-2021,2021,Q2,6,June,26,24,Thursday
25-06-2021,2021,Q2,6,June,26,25,Friday
26-06-2021,2021,Q2,6,June,26,26,Saturday
27-06-2021,2021,Q2,6,June,26,27,Sunday
28-06-2021,2021,Q2,6,June,27,28,Monday
29-06-2021,2021,Q2,6,June,27,29,Tuesday
30-06-2021,2021,Q2,6,June,27,30,Wednesday
01-07-2021,2021,Q3,7,July,27,1,Thursday
02-07-2021,2021,Q3,7,July,27,2,Friday
03-07-2021,2021,Q3,7,July,27,3,Saturday
04-07-2021,2021,Q3,7,July,27,4,Sunday
05-07-2021,2021,Q3,7,July,28,5,Monday
06-07-2021,2021,Q3,7,July,28,6,Tuesday
07-07-2021,2021,Q3,7,July,28,7,Wednesday
08-07-2021,2021,Q3,7,July,28,8,Thursday
09-07-2021,2021,Q3,7,July,28,9,Friday
10-07-2021,2021,Q3,7,July,28,10,Saturday
11-07-2021,2021,Q3,7,July,28,11,Sunday
12-07-2021,2021,Q3,7,July,29,12,Monday
13-07-2021,2021,Q3,7,July,29,13,Tuesday
14-07-2021,2021,Q3,7,July,29,14,Wednesday
15-07-2021,2021,Q3,7,July,29,15,Thursday
16-07-2021,2021,Q3,7,July,29,16,Friday
17-07-2021,2021,Q3,7,July,29,17,Saturday
18-07-2021,2021,Q3,7,July,29,18,Sunday
19-07-2021,2021,Q3,7,July,30,19,Monday
20-07-2021,2021,Q3,7,July,30,20,Tuesday
21-07-2021,2021,Q3,7,July,30,21,Wednesday
22-07-2021,2021,Q3,7,July,30,22,Thursday
23-07-2021,2021,Q3,7,July,30,23,Friday
24-07-2021,2021,Q3,7,July,30,24,Saturday
25-07-2021,2021,Q3,7,July,30,25,Sunday
26-07-2021,2021,Q3,7,July,31,26,Monday
27-07-2021,2021,Q3,7,July,31,27,Tuesday
28-07-2021,2021,Q3,7,July,31,28,Wednesday
29-07-2021,2021,Q3,7,July,31,29,Thursday
30-07-2021,2021,Q3,7,July,31,30,Friday
31-07-2021,2021,Q3,7,July,31,31,Saturday
01-08-2021,2021,Q3,8,August,31,1,Sunday
02-08-2021,2021,Q3,8,August,32,2,Monday
03-08-2021,2021,Q3,8,August,32,3,Tuesday
04-08-2021,2021,Q3,8,August,32,4,Wednesday
05-08-2021,2021,Q3,8,August,32,5,Thursday
06-08-2021,2021,Q3,8,August,32,6,Friday
07-08-2021,2021,Q3,8,August,32,7,Saturday
08-08-2021,2021,Q3,8,August,32,8,Sunday
09-08-2021,2021,Q3,8,August,33,9,Monday
10-08-2021,2021,Q3,8,August,33,10,Tuesday
11-08-2021,2021,Q3,8,August,33,11,Wednesday
12-08-2021,2021,Q3,8,August,33,12,Thursday
13-08-2021,2021,Q3,8,August,33,13,Friday
14-08-2021,2021,Q3,8,August,33,14,Saturday
15-08-2021,2021,Q3,8,August,33,15,Sunday
16-08-2021,2021,Q3,8,August,34,16,Monday
17-08-2021,2021,Q3,8,August,34,17,Tuesday
18-08-2021,2021,Q3,8,August,34,18,Wednesday
19-08-2021,2021,Q3,8,August,34,19,Thursday
20-08-2021,2021,Q3,8,August,34,20,Friday
21-08-2021,2021,Q3,8,August,34,21,Saturday
22-08-2021,2021,Q3,8,August,34,22,Sunday
23-08-2021,2021,Q3,8,August,35,23,Monday
24-08-2021,2021,Q3,8,August,35,24,Tuesday
25-08-2021,2021,Q3,8,August,35,25,Wednesday
26-08-2021,2021,Q3,8,August,35,26,Thursday
27-08-2021,2021,Q3,8,August,35,27,Friday
28-08-2021,2021,Q3,8,August,35,28,Saturday
29-08-2021,2021,Q3,8,August,35,29,Sunday
30-08-2021,2021,Q3,8,August,36,30,Monday
31-08-2021,2021,Q3,8,August,36,31,Tuesday
01-09-2021,2021,Q3,9,September,36,1,Wednesday
02-09-2021,2021,Q3,9,September,36,2,Thursday
03-09-2021,2021,Q3,9,September,36,3,Friday
04-09-2021,2021,Q3,9,September,36,4,Saturday
05-09-2021,2021,Q3,9,September,36,5,Sunday
06-09-2021,2021,Q3,9,September,37,6,Monday
07-09-2021,2021,Q3,9,September,37,7,Tuesday
08-09-2021,2021,Q3,9,September,37,8,Wednesday
09-09-2021,2021,Q3,9,September,37,9,Thursday
10-09-2021,2021,Q3,9,September,37,10,Friday
11-09-2021,2021,Q3,9,September,37,11,Saturday
12-09-2021,2021,Q3,9,September,37,12,Sunday
13-09-2021,2021,Q3,9,September,38,13,Monday
14-09-2021,2021,Q3,9,September,38,14,Tuesday
15-09-2021,2021,Q3,9,September,38,15,Wednesday
16-09-2021,2021,Q3,9,September,38,16,Thursday
17-09-2021,2021,Q3,9,September,38,17,Friday
18-09-2021,2021,Q3,9,September,38,18,Saturday
19-09-2021,2021,Q3,9,September,38,19,Sunday
20-09-2021,2021,Q3,9,September,39,20,Monday
21-09-2021,2021,Q3,9,September,39,21,Tuesday
22-09-2021,2021,Q3,9,September,39,22,Wednesday
23-09-2021,2021,Q3,9,September,39,23,Thursday
24-09-2021,2021,Q3,9,September,39,24,Friday
25-09-2021,2021,Q3,9,September,39,25,Saturday
26-09-2021,2021,Q3,9,September,39,26,Sunday
27-09-2021,2021,Q3,9,September,40,27,Monday
28-09-2021,2021,Q3,9,September,40,28,Tuesday
29-09-2021,2021,Q3,9,September,40,29,Wednesday
30-09-2021,2021,Q3,9,September,40,30,Thursday
01-10-2021,2021,Q4,10,October,40,1,Friday
02-10-2021,2021,Q4,10,October,40,2,Saturday
03-10-2021,2021,Q4,10,October,40,3,Sunday
04-10-2021,2021,Q4,10,October,41,4,Monday
05-10-2021,2021,Q4,10,October,41,5,Tuesday
06-10-2021,2021,Q4,10,October,41,6,Wednesday
07-10-2021,2021,Q4,10,October,41,7,Thursday
08-10-2021,2021,Q4,10,October,41,8,Friday
09-10-2021,2021,Q4,10,October,41,9,Saturday
10-10-2021,2021,Q4,10,October,41,10,Sunday
11-10-2021,2021,Q4,10,October,42,11,Monday
12-10-2021,2021,Q4,10,October,42,12,Tuesday
13-10-2021,2021,Q4,10,October,42,13,Wednesday
14-10-2021,2021,Q4,10,October,42,14,Thursday
15-10-2021,2021,Q4,10,October,42,15,Friday
16-10-2021,2021,Q4,10,October,42,16,Saturday
17-10-2021,2021,Q4,10,October,42,17,Sunday
18-10-2021,2021,Q4,10,October,43,18,Monday
19-10-2021,2021,Q4,10,October,43,19,Tuesday
20-10-2021,2021,Q4,10,October,43,20,Wednesday
21-10-2021,2021,Q4,10,October,43,21,Thursday
22-10-2021,2021,Q4,10,October,43,22,Friday
23-10-2021,2021,Q4,10,October,43,23,Saturday
24-10-2021,2021,Q4,10,October,43,24,Sunday
25-10-2021,2021,Q4,10,October,44,25,Monday
26-10-2021,2021,Q4,10,October,44,26,Tuesday
27-10-2021,2021,Q4,10,October,44,27,Wednesday
28-10-2021,2021,Q4,10,October,44,28,Thursday
29-10-2021,2021,Q4,10,October,44,29,Friday
30-10-2021,2021,Q4,10,October,44,30,Saturday
31-10-2021,2021,Q4,10,October,44,31,Sunday
01-11-2021,2021,Q4,11,November,45,1,Monday
02-11-2021,2021,Q4,11,November,45,2,Tuesday
03-11-2021,2021,Q4,11,November,45,3,Wednesday
04-11-2021,2021,Q4,11,November,45,4,Thursday
05-11-2021,2021,Q4,11,November,45,5,Friday
06-11-2021,2021,Q4,11,November,45,6,Saturday
07-11-2021,2021,Q4,11,November,45,7,Sunday
08-11-2021,2021,Q4,11,November,46,8,Monday
09-11-2021,2021,Q4,11,November,46,9,Tuesday
10-11-2021,2021,Q4,11,November,46,10,Wednesday
11-11-2021,2021,Q4,11,November,46,11,Thursday
12-11-2021,2021,Q4,11,November,46,12,Friday
13-11-2021,2021,Q4,11,November,46,13,Saturday
14-11-2021,2021,Q4,11,November,46,14,Sunday
15-11-2021,2021,Q4,11,November,47,15,Monday
16-11-2021,2021,Q4,11,November,47,16,Tuesday
17-11-2021,2021,Q4,11,November,47,17,Wednesday
18-11-2021,2021,Q4,11,November,47,18,Thursday
19-11-2021,2021,Q4,11,November,47,19,Friday
20-11-2021,2021,Q4,11,November,47,20,Saturday
21-11-2021,2021,Q4,11,November,47,21,Sunday
22-11-2021,2021,Q4,11,November,48,22,Monday
23-11-2021,2021,Q4,11,November,48,23,Tuesday
24-11-2021,2021,Q4,11,November,48,24,Wednesday
25-11-2021,2021,Q4,11,November,48,25,Thursday
26-11-2021,2021,Q4,11,November,48,26,Friday
27-11-2021,2021,Q4,11,November,48,27,Saturday
28-11-2021,2021,Q4,11,November,48,28,Sunday
29-11-2021,2021,Q4,11,November,49,29,Monday
30-11-2021,2021,Q4,11,November,49,30,Tuesday
01-12-2021,2021,Q4,12,December,49,1,Wednesday
02-12-2021,2021,Q4,12,December,49,2,Thursday
03-12-2021,2021,Q4,12,December,49,3,Friday
04-12-2021,2021,Q4,12,December,49,4,Saturday
05-12-2021,2021,Q4,12,December,49,5,Sunday
06-12-2021,2021,Q4,12,December,50,6,Monday
07-12-2021,2021,Q4,12,December,50,7,Tuesday
08-12-2021,2021,Q4,12,December,50,8,Wednesday
09-12-2021,2021,Q4,12,December,50,9,Thursday
10-12-2021,2021,Q4,12,December,50,10,Friday
11-12-2021,2021,Q4,12,December,50,11,Saturday
12-12-2021,2021,Q4,12,December,50,12,Sunday
13-12-2021,2021,Q4,12,December,51,13,Monday
14-12-2021,2021,Q4,12,December,51,14,Tuesday
15-12-2021,2021,Q4,12,December,51,15,Wednesday
16-12-2021,2021,Q4,12,December,51,16,Thursday
17-12-2021,2021,Q4,12,December,51,17,Friday
18-12-2021,2021,Q4,12,December,51,18,Saturday
19-12-2021,2021,Q4,12,December,51,19,Sunday
20-12-2021,2021,Q4,12,December,52,20,Monday
21-12-2021,2021,Q4,12,December,52,21,Tuesday
22-12-2021,2021,Q4,12,December,52,22,Wednesday
23-12-2021,2021,Q4,12,December,52,23,Thursday
24-12-2021,2021,Q4,12,December,52,24,Friday
25-12-2021,2021,Q4,12,December,52,25,Saturday
26-12-2021,2021,Q4,12,December,52,26,Sunday
27-12-2021,2021,Q4,12,December,53,27,Monday
28-12-2021,2021,Q4,12,December,53,28,Tuesday
29-12-2021,2021,Q4,12,December,53,29,Wednesday
30-12-2021,2021,Q4,12,December,53,30,Thursday
31-12-2021,2021,Q4,12,December,53,31,Friday
01-01-2022,2022,Q1,1,January,1,1,Saturday
02-01-2022,2022,Q1,1,January,1,2,Sunday
03-01-2022,2022,Q1,1,January,2,3,Monday
04-01-2022,2022,Q1,1,January,2,4,Tuesday
05-01-2022,2022,Q1,1,January,2,5,Wednesday
06-01-2022,2022,Q1,1,January,2,6,Thursday
07-01-2022,2022,Q1,1,January,2,7,Friday
08-01-2022,2022,Q1,1,January,2,8,Saturday
09-01-2022,2022,Q1,1,January,2,9,Sunday
10-01-2022,2022,Q1,1,January,3,10,Monday
11-01-2022,2022,Q1,1,January,3,11,Tuesday
12-01-2022,2022,Q1,1,January,3,12,Wednesday
13-01-2022,2022,Q1,1,January,3,13,Thursday
14-01-2022,2022,Q1,1,January,3,14,Friday
15-01-2022,2022,Q1,1,January,3,15,Saturday
16-01-2022,2022,Q1,1,January,3,16,Sunday
17-01-2022,2022,Q1,1,January,4,17,Monday
18-01-2022,2022,Q1,1,January,4,18,Tuesday
19-01-2022,2022,Q1,1,January,4,19,Wednesday
20-01-2022,2022,Q1,1,January,4,20,Thursday
21-01-2022,2022,Q1,1,January,4,21,Friday
22-01-2022,2022,Q1,1,January,4,22,Saturday
23-01-2022,2022,Q1,1,January,4,23,Sunday
24-01-2022,2022,Q1,1,January,5,24,Monday
25-01-2022,2022,Q1,1,January,5,25,Tuesday
26-01-2022,2022,Q1,1,January,5,26,Wednesday
27-01-2022,2022,Q1,1,January,5,27,Thursday
28-01-2022,2022,Q1,1,January,5,28,Friday
29-01-2022,2022,Q1,1,January,5,29,Saturday
30-01-2022,2022,Q1,1,January,5,30,Sunday
31-01-2022,2022,Q1,1,January,6,31,Monday
01-02-2022,2022,Q1,2,February,6,1,Tuesday
02-02-2022,2022,Q1,2,February,6,2,Wednesday
03-02-2022,2022,Q1,2,February,6,3,Thursday
04-02-2022,2022,Q1,2,February,6,4,Friday
05-02-2022,2022,Q1,2,February,6,5,Saturday
06-02-2022,2022,Q1,2,February,6,6,Sunday
07-02-2022,2022,Q1,2,February,7,7,Monday
08-02-2022,2022,Q1,2,February,7,8,Tuesday
09-02-2022,2022,Q1,2,February,7,9,Wednesday
10-02-2022,2022,Q1,2,February,7,10,Thursday
11-02-2022,2022,Q1,2,February,7,11,Friday
12-02-2022,2022,Q1,2,February,7,12,Saturday
13-02-2022,2022,Q1,2,February,7,13,Sunday
14-02-2022,2022,Q1,2,February,8,14,Monday
15-02-2022,2022,Q1,2,February,8,15,Tuesday
16-02-2022,2022,Q1,2,February,8,16,Wednesday
17-02-2022,2022,Q1,2,February,8,17,Thursday
18-02-2022,2022,Q1,2,February,8,18,Friday
19-02-2022,2022,Q1,2,February,8,19,Saturday
20-02-2022,2022,Q1,2,February,8,20,Sunday
21-02-2022,2022,Q1,2,February,9,21,Monday
22-02-2022,2022,Q1,2,February,9,22,Tuesday
23-02-2022,2022,Q1,2,February,9,23,Wednesday
24-02-2022,2022,Q1,2,February,9,24,Thursday
25-02-2022,2022,Q1,2,February,9,25,Friday
26-02-2022,2022,Q1,2,February,9,26,Saturday
27-02-2022,2022,Q1,2,February,9,27,Sunday
28-02-2022,2022,Q1,2,February,10,28,Monday
01-03-2022,2022,Q1,3,March,10,1,Tuesday
02-03-2022,2022,Q1,3,March,10,2,Wednesday
03-03-2022,2022,Q1,3,March,10,3,Thursday
04-03-2022,2022,Q1,3,March,10,4,Friday
05-03-2022,2022,Q1,3,March,10,5,Saturday
06-03-2022,2022,Q1,3,March,10,6,Sunday
07-03-2022,2022,Q1,3,March,11,7,Monday
08-03-2022,2022,Q1,3,March,11,8,Tuesday
09-03-2022,2022,Q1,3,March,11,9,Wednesday
10-03-2022,2022,Q1,3,March,11,10,Thursday
11-03-2022,2022,Q1,3,March,11,11,Friday
12-03-2022,2022,Q1,3,March,11,12,Saturday
13-03-2022,2022,Q1,3,March,11,13,Sunday
14-03-2022,2022,Q1,3,March,12,14,Monday
15-03-2022,2022,Q1,3,March,12,15,Tuesday
16-03-2022,2022,Q1,3,March,12,16,Wednesday
17-03-2022,2022,Q1,3,March,12,17,Thursday
18-03-2022,2022,Q1,3,March,12,18,Friday
19-03-2022,2022,Q1,3,March,12,19,Saturday
20-03-2022,2022,Q1,3,March,12,20,Sunday
21-03-2022,2022,Q1,3,March,13,21,Monday
22-03-2022,2022,Q1,3,March,13,22,Tuesday
23-03-2022,2022,Q1,3,March,13,23,Wednesday
24-03-2022,2022,Q1,3,March,13,24,Thursday
25-03-2022,2022,Q1,3,March,13,25,Friday
26-03-2022,2022,Q1,3,March,13,26,Saturday
27-03-2022,2022,Q1,3,March,13,27,Sunday
28-03-2022,2022,Q1,3,March,14,28,Monday
29-03-2022,2022,Q1,3,March,14,29,Tuesday
30-03-2022,2022,Q1,3,March,14,30,Wednesday
31-03-2022,2022,Q1,3,March,14,31,Thursday
01-04-2022,2022,Q2,4,April,14,1,Friday
